item,man,jijd,qeqeq,
qeqee,qee,qeqe,qeqe,qe,qeqe,qe,qe,qe,rreer,e,t,et,et,et,t,et,te,et,e,te,et,et
qeqee,qee,qeqe,qeqe,qe,qeqe,qe,qe,qe,rreer,e,t,et,et,et,t,et,te,et,e,te,et,et
qeqee,qee,qeqe,qeqe,qe,qeqe,qe,qe,qe,rreer,e,t,et,et,et,t,et,te,et,e,te,et,et
qeqee,qee,qeqe,qeqe,qe,qeqe,qe,qe,qe,rreer,e,t,et,et,et,t,et,te,et,e,te,et,et
qeqee,qee,qeqe,qeqe,qe,qeqe,qe,qe,qe,rreer,e,t,et,et,et,t,et,te,et,e,te,et,et
qeqee,qee,qeqe,qeqe,qe,qeqe,qe,qe,qe,rreer,e,t,et,et,et,t,et,te,et,e,te,et,et
qeqee,qee,qeqe,qeqe,qe,qeqe,qe,qe,qe,rreer,e,t,et,et,et,t,et,te,et,e,te,et,et
qeqee,qee,qeqe,qeqe,qe,qeqe,qe,qe,qe,rreer,e,t,et,et,et,t,et,te,et,e,te,et,et
qeqee,qee,qeqe,qeqe,qe,qeqe,qe,qe,qe,rreer,e,t,et,et,et,t,et,te,et,e,te,et,et
qeqee,qee,qeqe,qeqe,qe,qeqe,qe,qe,qe,rreer,e,t,et,et,et,t,et,te,et,e,te,et,et
qeqee,qee,qeqe,qeqe,qe,qeqe,qe,qe,qe,rreer,e,t,et,et,et,t,et,te,et,e,te,et,et.